Casting No. / Batch No.,Zn,Fe,Si,Cu,In,Mg,Sn,Ti,Cd,Ga,B,Na,Ni,Oth,V,Al(By Diff)
26B0284111,0.0016,0.079,0.078,0.0007,,0.0082,,0.0009,,0.0108,0.0023,0.0036,0.0024,0.01,0.0091,99.797
26B0284110,0.0016,0.079,0.078,0.0007,,0.0082,,0.0009,,0.0108,0.0023,0.0036,0.0024,0.01,0.0091,99.797
26F0238346,0.0015,0.068,0.059,0.0005,,0.0022,,0.0007,,0.0107,0.0026,0.0026,0.0022,0.01,0.0089,99.834
26B0284112,0.0016,0.079,0.078,0.0007,,0.0082,,0.0009,,0.0108,0.0023,0.0036,0.0024,0.01,0.0091,99.797
26A0244216,0.0016,0.075,0.075,0.0004,,0.0113,,0.0007,,0.0117,0.002,0.0034,0.0027,0.01,0.0067,99.801
26B0285114,0.0017,0.069,0.058,0.0008,,0.0025,,0.0006,,0.0109,0.0025,0.0037,0.0022,0.01,0.0086,99.834
26B0285115,0.0017,0.069,0.058,0.0008,,0.0025,,0.0006,,0.0109,0.0025,0.0037,0.0022,0.01,0.0086,99.834
26F0238345,0.0015,0.068,0.059,0.0005,,0.0022,,0.0007,,0.0107,0.0026,0.0026,0.0022,0.01,0.0089,99.834
26F0238337,0.0015,0.068,0.059,0.0005,,0.0022,,0.0007,,0.0107,0.0026,0.0026,0.0022,0.01,0.0089,99.834
26B0285209,0.0017,0.069,0.058,0.0008,,0.0025,,0.0006,,0.0109,0.0025,0.0037,0.0022,0.01,0.0086,99.834
26B0285204,0.0017,0.069,0.058,0.0008,,0.0025,,0.0006,,0.0109,0.0025,0.0037,0.0022,0.01,0.0086,99.834
26B0285203,0.0017,0.069,0.058,0.0008,,0.0025,,0.0006,,0.0109,0.0025,0.0037,0.0022,0.01,0.0086,99.834
26B0315119,0.0016,0.077,0.067,0.0006,,0.0054,,0.0012,,0.0108,0.003,0.0056,0.0023,0.01,0.0084,99.81
26B0315101,0.0016,0.077,0.067,0.0006,,0.0054,,0.0012,,0.0108,0.003,0.0056,0.0023,0.01,0.0084,99.81
26B0314226,0.0017,0.07,0.071,0.0004,,0.005,,0.0009,,0.0107,0.0028,0.0048,0.0034,0.01,0.0093,99.813
26E0300311,0.0017,0.082,0.072,0.0004,,0.0012,,0.0012,,0.0117,0.0028,0.0057,0.0029,0.01,0.0084,99.802
26E0300312,0.0017,0.082,0.072,0.0004,,0.0012,,0.0012,,0.0117,0.0028,0.0057,0.0029,0.01,0.0084,99.802
26E0300406,0.0017,0.082,0.072,0.0004,,0.0012,,0.0012,,0.0117,0.0028,0.0057,0.0029,0.01,0.0084,99.802
26E0297318,0.0019,0.074,0.072,0.0004,,0.0073,,0.0011,,0.011,0.0026,0.0043,0.0026,0.01,0.0084,99.807
26E0297319,0.0019,0.074,0.072,0.0004,,0.0073,,0.0011,,0.011,0.0026,0.0043,0.0026,0.01,0.0084,99.807
26E0297402,0.0019,0.074,0.072,0.0004,,0.0073,,0.0011,,0.011,0.0026,0.0043,0.0026,0.01,0.0084,99.807
26A0275203,0.0017,0.088,0.08,0.0004,,0.0117,,0.0011,,0.0106,0.0023,0.0032,0.0036,0.01,0.0086,99.78
26A0275213,0.0017,0.088,0.08,0.0004,,0.0117,,0.0011,,0.0106,0.0023,0.0032,0.0036,0.01,0.0086,99.78
26A0275214,0.0017,0.088,0.08,0.0004,,0.0117,,0.0011,,0.0106,0.0023,0.0032,0.0036,0.01,0.0086,99.78
26A0276211,0.0017,0.078,0.073,0.0007,,0.0111,,0.0007,,0.0106,0.0016,0.0045,0.0024,0.01,0.0066,99.802
26A0278149,0.0016,0.072,0.073,0.0006,,0.0041,,0.0008,,0.011,0.0031,0.0046,0.0024,0.01,0.0081,99.811
26C0287101,0.0016,0.069,0.072,0.0005,,0.0036,,0.0011,,0.0112,0.0026,0.0045,0.0025,0.01,0.0084,99.815
26A0275209,0.0017,0.088,0.08,0.0004,,0.0117,,0.0011,,0.0106,0.0023,0.0032,0.0036,0.01,0.0086,99.78
26A0275210,0.0017,0.088,0.08,0.0004,,0.0117,,0.0011,,0.0106,0.0023,0.0032,0.0036,0.01,0.0086,99.78
26A0275211,0.0017,0.088,0.08,0.0004,,0.0117,,0.0011,,0.0106,0.0023,0.0032,0.0036,0.01,0.0086,99.78
26D0285407,0.0018,0.064,0.062,0.0004,,0.0047,,0.0008,,0.011,0.0019,0.0033,0.0035,0.01,0.0082,99.83
26B0313213,0.0016,0.088,0.075,0.0038,,0.0013,,0.0008,,0.011,0.0028,0.0036,0.0026,0.01,0.0081,99.793
26E0316439,0.0016,0.077,0.064,0.0007,,0.0116,,0.001,,0.011,0.0027,0.0053,0.0022,0.01,0.0095,99.807
26A0255110,0.0016,0.069,0.067,0.0004,,0.0095,,0.0009,,0.0108,0.0026,0.0033,0.0034,0.01,0.0087,99.815
26A0266212,0.0016,0.084,0.073,0.0005,,0.0009,,0.0008,,0.0112,0.0029,0.0036,0.003,0.01,0.0082,99.802
26A0266213,0.0016,0.084,0.073,0.0005,,0.0009,,0.0008,,0.0112,0.0029,0.0036,0.003,0.01,0.0082,99.802
26B0308203,0.0016,0.066,0.064,0.0009,,0.0025,,0.0007,,0.0108,0.0032,0.0054,0.0023,0.01,0.0097,99.826
26B0304209,0.0017,0.07,0.063,0.0006,,0.002,,0.0008,,0.0109,0.0028,0.0058,0.0021,0.01,0.0091,99.824
26B0304210,0.0017,0.07,0.063,0.0006,,0.002,,0.0008,,0.0109,0.0028,0.0058,0.0021,0.01,0.0091,99.824
26B0304211,0.0017,0.07,0.063,0.0006,,0.002,,0.0008,,0.0109,0.0028,0.0058,0.0021,0.01,0.0091,99.824
26B0296109,0.0016,0.073,0.077,0.0005,,0.0057,,0.0008,,0.011,0.0024,0.0037,0.0027,0.01,0.008,99.806
26B0296110,0.0016,0.073,0.077,0.0005,,0.0057,,0.0008,,0.011,0.0024,0.0037,0.0027,0.01,0.008,99.806
26B0296111,0.0016,0.073,0.077,0.0005,,0.0057,,0.0008,,0.011,0.0024,0.0037,0.0027,0.01,0.008,99.806
26C0270203,0.0015,0.08,0.068,0.0004,,0.0008,,0.0006,,0.0108,0.0022,0.0028,0.0027,0.01,0.0064,99.816
26C0270204,0.0015,0.08,0.068,0.0004,,0.0008,,0.0006,,0.0108,0.0022,0.0028,0.0027,0.01,0.0064,99.816
26F0244301,0.0016,0.077,0.079,0.0005,,0.0087,,0.0007,,0.0112,0.0018,0.0025,0.0031,0.01,0.0058,99.8
26A0267218,0.0016,0.08,0.07,0.0006,,0.0016,,0.0009,,0.0108,0.003,0.0047,0.0023,0.01,0.0097,99.807
26A0267219,0.0016,0.08,0.07,0.0006,,0.0016,,0.0009,,0.0108,0.003,0.0047,0.0023,0.01,0.0097,99.807
26A0267220,0.0016,0.08,0.07,0.0006,,0.0016,,0.0009,,0.0108,0.003,0.0047,0.0023,0.01,0.0097,99.807
26A0265205,0.0018,0.078,0.095,0.0004,,0.0011,,0.0009,,0.0105,0.0031,0.0051,0.0033,0.01,0.0097,99.783
26A0265206,0.0018,0.078,0.095,0.0004,,0.0011,,0.0009,,0.0105,0.0031,0.0051,0.0033,0.01,0.0097,99.783
26A0267201,0.0016,0.08,0.07,0.0006,,0.0016,,0.0009,,0.0108,0.003,0.0047,0.0023,0.01,0.0097,99.807
26E0319430,0.0016,0.089,0.08,0.0006,,0.0122,,0.0011,,0.0107,0.0028,0.0045,0.0022,0.01,0.0092,99.779
26E0319444,0.0016,0.089,0.08,0.0006,,0.0122,,0.0011,,0.0107,0.0028,0.0045,0.0022,0.01,0.0092,99.779
26E0319445,0.0016,0.089,0.08,0.0006,,0.0122,,0.0011,,0.0107,0.0028,0.0045,0.0022,0.01,0.0092,99.779
26D0273407,0.0016,0.084,0.086,0.0004,,0.0091,,0.0011,,0.0111,0.0029,0.0029,0.0028,0.01,0.0075,99.783
26D0273408,0.0016,0.084,0.086,0.0004,,0.0091,,0.0011,,0.0111,0.0029,0.0029,0.0028,0.01,0.0075,99.783
26D0273409,0.0016,0.084,0.086,0.0004,,0.0091,,0.0011,,0.0111,0.0029,0.0029,0.0028,0.01,0.0075,99.783
26C0281109,0.0016,0.073,0.074,0.0005,,0.0093,,0.0019,,0.0109,0.0029,0.004,0.0037,0.01,0.0102,99.8
26C0281224,0.0016,0.073,0.074,0.0005,,0.0093,,0.0019,,0.0109,0.0029,0.004,0.0037,0.01,0.0102,99.8
26C0281225,0.0016,0.073,0.074,0.0005,,0.0093,,0.0019,,0.0109,0.0029,0.004,0.0037,0.01,0.0102,99.8
26B0313211,0.0016,0.088,0.075,0.0038,,0.0013,,0.0008,,0.011,0.0028,0.0036,0.0026,0.01,0.0081,99.793
26B0313212,0.0016,0.088,0.075,0.0038,,0.0013,,0.0008,,0.011,0.0028,0.0036,0.0026,0.01,0.0081,99.793
26B0300221,0.0019,0.081,0.07,0.0001,,0.011,,0.0011,,0.0108,0.0028,0.0033,0.0027,0.01,0.0091,99.799
26C0274206,0.0018,0.083,0.08,0.0008,,0.0124,,0.001,,0.011,0.0026,0.0062,0.0024,0.01,0.0086,99.782
26A0250214,0.0019,0.074,0.063,0.0004,,0.0008,,0.0009,,0.0107,0.0029,0.0037,0.0027,0.01,0.0091,99.823
26F0254402,0.0017,0.069,0.062,0.0007,,0.0012,,0.0008,,0.0109,0.0019,0.0031,0.0031,0.01,0.0079,99.83
26F0254403,0.0017,0.069,0.062,0.0007,,0.0012,,0.0008,,0.0109,0.0019,0.0031,0.0031,0.01,0.0079,99.83
26F0254404,0.0017,0.069,0.062,0.0007,,0.0012,,0.0008,,0.0109,0.0019,0.0031,0.0031,0.01,0.0079,99.83
26D0278419,0.0019,0.07,0.056,0.0002,,0.0015,,0.0014,,0.011,0.0028,0.0047,0.0026,0.01,0.0102,99.83
26D0278420,0.0019,0.07,0.056,0.0002,,0.0015,,0.0014,,0.011,0.0028,0.0047,0.0026,0.01,0.0102,99.83
26D0278421,0.0019,0.07,0.056,0.0002,,0.0015,,0.0014,,0.011,0.0028,0.0047,0.0026,0.01,0.0102,99.83
26E0313312,0.0016,0.071,0.065,0.0004,,0.0051,,0.0011,,0.0115,0.003,0.0052,0.0029,0.01,0.0098,99.815
26E0315330,0.0015,0.076,0.068,0.0005,,0.0079,,0.001,,0.0109,0.0026,0.0042,0.0025,0.01,0.0074,99.809
26E0315331,0.0015,0.076,0.068,0.0005,,0.0079,,0.001,,0.0109,0.0026,0.0042,0.0025,0.01,0.0074,99.809
26E0323404,0.0016,0.086,0.076,0.0005,,0.0075,,0.0015,,0.0114,0.0034,0.0044,0.0027,0.01,0.0088,99.788
26E0323405,0.0016,0.086,0.076,0.0005,,0.0075,,0.0015,,0.0114,0.0034,0.0044,0.0027,0.01,0.0088,99.788
26E0324407,0.0016,0.07,0.066,0.0004,,0.0011,,0.0008,,0.0111,0.0035,0.0055,0.0026,0.01,0.0092,99.821
26E0324412,0.0016,0.07,0.066,0.0004,,0.0011,,0.0008,,0.0111,0.0035,0.0055,0.0026,0.01,0.0092,99.821
26B0313231,0.0016,0.088,0.075,0.0038,,0.0013,,0.0008,,0.011,0.0028,0.0036,0.0026,0.01,0.0081,99.793
26B0315111,0.0016,0.077,0.067,0.0006,,0.0054,,0.0012,,0.0108,0.003,0.0056,0.0023,0.01,0.0084,99.81
26C0282107,0.0015,0.072,0.072,0.0005,,0.0071,,0.0008,,0.0109,0.0024,0.0036,0.0024,0.01,0.0077,99.811
26C0282108,0.0015,0.072,0.072,0.0005,,0.0071,,0.0008,,0.0109,0.0024,0.0036,0.0024,0.01,0.0077,99.811
26C0282109,0.0015,0.072,0.072,0.0005,,0.0071,,0.0008,,0.0109,0.0024,0.0036,0.0024,0.01,0.0077,99.811
26A0263217,0.0015,0.06,0.053,0.0008,,0.0009,,0.0009,,0.0109,0.003,0.0045,0.0023,0.01,0.009,99.846
26A0263221,0.0015,0.06,0.053,0.0008,,0.0009,,0.0009,,0.0109,0.003,0.0045,0.0023,0.01,0.009,99.846
26A0266211,0.0016,0.084,0.073,0.0005,,0.0009,,0.0008,,0.0112,0.0029,0.0036,0.003,0.01,0.0082,99.802
26C0281120,0.0016,0.073,0.074,0.0005,,0.0093,,0.0019,,0.0109,0.0029,0.004,0.0037,0.01,0.0102,99.8
26C0281204,0.0016,0.073,0.074,0.0005,,0.0093,,0.0019,,0.0109,0.0029,0.004,0.0037,0.01,0.0102,99.8
26C0281205,0.0016,0.073,0.074,0.0005,,0.0093,,0.0019,,0.0109,0.0029,0.004,0.0037,0.01,0.0102,99.8
26B0304219,0.0017,0.07,0.063,0.0006,,0.002,,0.0008,,0.0109,0.0028,0.0058,0.0021,0.01,0.0091,99.824
26B0304220,0.0017,0.07,0.063,0.0006,,0.002,,0.0008,,0.0109,0.0028,0.0058,0.0021,0.01,0.0091,99.824
26D0267308,0.0016,0.086,0.063,0.0018,,0.0016,,0.0007,,0.0114,0.0028,0.0035,0.0026,0.01,0.0081,99.809
26C0271122,0.0016,0.08,0.079,0.0004,,0.0057,,0.0012,,0.0114,0.0027,0.004,0.0028,0.01,0.0082,99.795
26A0269101,0.0015,0.073,0.067,0.0007,,0.0079,,0.0008,,0.0109,0.0029,0.0052,0.0025,0.01,0.0084,99.811
26D0285408,0.0018,0.064,0.062,0.0004,,0.0047,,0.0008,,0.011,0.0019,0.0033,0.0035,0.01,0.0082,99.83
26E0330313,0.0016,0.083,0.069,0.0005,,0.0041,,0.001,,0.0109,0.0032,0.0035,0.0029,0.01,0.0082,99.804
26A0279122,0.0019,0.067,0.063,0.0008,,0.0045,,0.0012,,0.0108,0.0034,0.0073,0.0022,0.01,0.0105,99.82
26A0279123,0.0019,0.067,0.063,0.0008,,0.0045,,0.0012,,0.0108,0.0034,0.0073,0.0022,0.01,0.0105,99.82
26A0279124,0.0019,0.067,0.063,0.0008,,0.0045,,0.0012,,0.0108,0.0034,0.0073,0.0022,0.01,0.0105,99.82
26C0287106,0.0016,0.069,0.072,0.0005,,0.0036,,0.0011,,0.0112,0.0026,0.0045,0.0025,0.01,0.0084,99.815
26C0287107,0.0016,0.069,0.072,0.0005,,0.0036,,0.0011,,0.0112,0.0026,0.0045,0.0025,0.01,0.0084,99.815
26C0287108,0.0016,0.069,0.072,0.0005,,0.0036,,0.0011,,0.0112,0.0026,0.0045,0.0025,0.01,0.0084,99.815
26C0284116,0.0018,0.085,0.059,0.0005,,0.001,,0.0007,,0.0106,0.0017,0.003,0.0033,0.01,0.0053,99.82
26D0283417,0.0016,0.075,0.073,0.0004,,0.0088,,0.0009,,0.0111,0.0024,0.0041,0.0025,0.01,0.007,99.806
26D0284301,0.002,0.071,0.065,0.0001,,0.0063,,0.001,,0.0112,0.0024,0.003,0.0026,0.01,0.0079,99.82
26E0331304,0.0019,0.067,0.069,0.0007,,0.0042,,0.001,,0.0106,0.0026,0.0063,0.0022,0.01,0.009,99.818
26E0331305,0.0019,0.067,0.069,0.0007,,0.0042,,0.001,,0.0106,0.0026,0.0063,0.0022,0.01,0.009,99.818
26E0331306,0.0019,0.067,0.069,0.0007,,0.0042,,0.001,,0.0106,0.0026,0.0063,0.0022,0.01,0.009,99.818
26E0328310,0.0016,0.083,0.075,0.0004,,0.0078,,0.001,,0.0109,0.003,0.0035,0.0025,0.01,0.0082,99.795
26E0328311,0.0016,0.083,0.075,0.0004,,0.0078,,0.001,,0.0109,0.003,0.0035,0.0025,0.01,0.0082,99.795
26E0328421,0.0016,0.083,0.075,0.0004,,0.0078,,0.001,,0.0109,0.003,0.0035,0.0025,0.01,0.0082,99.795
26B0322115,0.0018,0.083,0.078,0.0005,,0.0133,,0.0011,,0.0107,0.0024,0.0038,0.0031,0.01,0.0083,99.784
26D0284313,0.002,0.071,0.065,0.0001,,0.0063,,0.001,,0.0112,0.0024,0.003,0.0026,0.01,0.0079,99.82
26D0284415,0.002,0.071,0.065,0.0001,,0.0063,,0.001,,0.0112,0.0024,0.003,0.0026,0.01,0.0079,99.82
26B0314210,0.0017,0.07,0.071,0.0004,,0.005,,0.0009,,0.0107,0.0028,0.0048,0.0034,0.01,0.0093,99.813
26B0314211,0.0017,0.07,0.071,0.0004,,0.005,,0.0009,,0.0107,0.0028,0.0048,0.0034,0.01,0.0093,99.813
26B0314212,0.0017,0.07,0.071,0.0004,,0.005,,0.0009,,0.0107,0.0028,0.0048,0.0034,0.01,0.0093,99.813
26B0317214,0.0016,0.088,0.061,0.0011,,0.001,,0.0011,,0.011,0.0022,0.0058,0.0031,0.01,0.0094,99.807
26D0275311,0.0016,0.096,0.071,0.0038,,0.0031,,0.0008,,0.0108,0.0028,0.0058,0.0025,0.01,0.0088,99.785
26D0275312,0.0016,0.096,0.071,0.0038,,0.0031,,0.0008,,0.0108,0.0028,0.0058,0.0025,0.01,0.0088,99.785
